Symbol,Status,Records Downloaded
PSA,Success,7554
NXPI,Success,3569
ADSK,Success,7554
JD,Success,2615
BSV,Success,4408
DASH,Success,965
MET,Success,6168
TLT,Success,5591
HLT,Success,2725
ROP,Success,7554
COF,Success,7527
BBVA,Success,7554
IWD,Success,6132
FANG,Success,3017
IMO.TO,Success,7478
PSX,Success,3145
TTD,Success,2027
TFC,Success,7554
ET,Success,4704
ING,Success,7554
OKE,Success,7554
CM,Success,6770
NSC,Success,7554
MPC,Success,3347
CCZ,Success,4003
NTES,Success,6108
BK,Success,7554
SE,Success,1754
SPG,Success,7554
PCAR,Success,7554
VTIP,Success,3015
VT,Success,4101
AEM.TO,Success,7478
L.TO,Success,7479
GM,Success,3496
CPRT,Success,7554
O,Success,7548
IVW,Success,6132
MFC,Success,6302
URI,Success,6746
VCIT,Success,3745
TRV,Success,7554
AZO,Success,7554
VUSA.AS,Success,3172
KMI,Success,3438
MFG,Success,4510
DLR,Success,5021
AEP,Success,7554
SRE,Success,7554
JCI,Success,7554
SREA,Success,1332
SU,Success,7554
INGA.AS,Success,7623
HMC,Success,7554
GWW,Success,7554
PAYX,Success,7554
RCL,Success,7554
AMX,Success,5956
QUAL,Success,2828
E,Success,7267
OXY,Success,7554
KDP,Success,4143
MNST,Success,7554
ALL,Success,7554
AIG,Success,7554
FICO,Success,7554
AMP,Success,4800
LEN,Success,7554
APP,Success,879
IAU,Success,4959
ABX.TO,Success,7478
CCI,Success,6580
KMB,Success,7554
MSCI,Success,4254
ALC,Success,1387
TEAM,Success,2224
CHTR,Success,3717
LYG,Success,5757
FIS,Success,5864
ROST,Success,7554
D,Success,7554
TRP,Success,7554
SPLG,Success,4757
VALE,Success,5679
SCHX,Success,3759
WCN,Success,6640
HLN,Success,563
CPNG,Success,903
LHX,Success,7554
VLO,Success,7554
IFC.TO,Success,4979
CMI,Success,7554
CVE.TO,Success,3750
SLF.TO,Success,6168
TAK,Success,4148
PWR,Success,6709
MPLX,Success,3007
MPWR,Success,5006
TEL,Success,4362
DSY.PA,Success,7255
BCS,Success,7554
PEG,Success,7554
XVALO.MC,Success,5785
FFH.TO,Success,7477
COR,Success,7432
STZ,Success,7554
NA.TO,Success,7478
PRS,Success,1544
PRU,Success,5745
SQ,Success,2237
LNG,Success,7554
DDOG,Success,1274
HEIA.AS,Success,7623
VST,Success,2017
MS-PQ,Success,57
HES,Success,7554
PFH,Success,5107
PRH,Success,539
GWO.TO,Success,7107
UMG.AS,Success,787
GWO-PN.TO,Success,3480
ACGL,Success,7319
GWO-PM.TO,Success,3566
FLUT,Success,5542
ADYEN.AS,Success,1625
VCSH,Success,3745
SCHF,Success,3759
IQV,Success,2876
BIV,Success,4408
KHC,Success,2334
IMO,Success,7554
PCG,Success,7554
TCOM,Success,5245
ENB-PFA.TO,Success,6504
F,Success,7554
HWM,Success,7554
BN.PA,Success,7740
ODFL,Success,7554
MCHP,Success,7554
A,Success,6263
GEHC,Success,457
NDAQ,Success,5609
BCE.TO,Success,7166
OTIS,Success,1149
EW,Success,6175
SGO.PA,Success,7681
SNOW,Success,1024
KVUE,Success,362
XLV,Success,6492
COIN,Success,880
VRT,Success,1561
FAST,Success,7554
XLF,Success,6492
ITOT,Success,5215
KR,Success,7554
IT,Success,7554
FERG,Success,3949
IR,Success,1867
IXUS,Success,3011
CVNA,Success,1876
GIS,Success,7554
EXC,Success,7554
IWB,Success,6137
DOL.TO,Success,3766
GLW,Success,7554
ACA.PA,Success,5861
KIM-PN,Success,194
MUB,Success,4302
AEM,Success,7554
CTVA,Success,1355
AME,Success,7554
IDXX,Success,7554
XLE,Success,6492
NWG,Success,4279
STLA,Success,3186
LVS,Success,4989
VRSK,Success,3778
BIDU,Success,4828
BSBR,Success,3778
VGIT,Success,3745
HSY,Success,7554
CNC,Success,5745
BKR,Success,7554
DOW,Success,1401
ENGI.PA,Success,6375
WPM.TO,Success,5014
YUM,Success,6814
EA,Success,7554
VTEB,Success,2298
ABEV,Success,6947
CTSH,Success,6621
CBRE,Success,5119
SYY,Success,7554
EXR,Success,5076
JEPI,Success,1105
ALNY,Success,5127
DFS,Success,4362
NUE,Success,7554
DD,Success,7554
CCEP,Success,7554
TRGP,Success,3484
HPQ,Success,7554
ED,Success,7554
IVE,Success,6132
EFX,Success,7554
STLAP.PA,Success,7549
IRM,Success,7222
GOLD,Success,7554
RMD,Success,7391
XEL,Success,7554
VNQ,Success,5043
TECK-A.TO,Success,6683
GIB-A.TO,Success,7128
EEM,Success,5412
WKL.AS,Success,7623
TECK-B.TO,Success,7567
DIA,Success,6726
DB,Success,7020
MBB,Success,4424
MSTR,Success,6627
QQQM,Success,1005
HIG,Success,7254
VEEV,Success,2765
PPL.TO,Success,6028
PPL-PA.TO,Success,2811
EL,Success,7273
BIL,Success,4373
VICI,Success,1757
IEF,Success,5591
WDS,Success,7247
GBTC,Success,2377
IUSB,Success,2601
NTR.TO,Success,1703
CVE,Success,3749
SLF,Success,6177
SCHG,Success,3732
T.TO,Success,7478
MLM,Success,7554
DAL,Success,4396
XYL,Success,3269
CCEP.AS,Success,2549
WIT,Success,6031
LQD,Success,5591
EIX,Success,7554
AXON,Success,5873
TSCO,Success,7554
EBAY,Success,6554
FNV.TO,Success,4230
VMC,Success,7554
WAB,Success,7381
LULU,Success,4332
UCB.BR,Success,6376
GRMN,Success,5996
RI.PA,Success,7682
TW,Success,1390
NET,Success,1278
ARGX,Success,1862
SCHB,Success,3759
MDY,Success,7411
DFAC,Success,838
VOE,Success,4563
CAP.PA,Success,7682
VXF,Success,5731
ARES,Success,2629
HEI,Success,7554
MTD,Success,6769
AVB,Success,7554
CSGP,Success,6613
LYB,Success,3639
DSFIR.AS,Success,381
IWR,Success,5843
WSP.TO,Success,4614
QSR.TO,Success,2468
DGRO,Success,2601
ROK,Success,7554
OWL,Success,962
VONG,Success,3537
HUM,Success,7554
CCO.TO,Success,7477
HO.PA,Success,7681
BCE,Success,7554
ON,Success,6150
MTB-PJ,Success,109
CDW,Success,2842
WEC,Success,7554
PHG,Success,7554
MTB,Success,7554
WTW,Success,5870
PPG,Success,7554
BRO,Success,7554
ZS,Success,1654
NVR,Success,7554
KER.PA,Success,7682
ORAN,Success,6788
FTS.TO,Success,7478
FER,Success,3060
SPYG,Success,6045
CHT,Success,5346
WN.TO,Success,7530
PHM,Success,7554
FITB,Success,7554
ANSS,Success,7125
VEU,Success,4430
ARGX.BR,Success,2628
FCNCA,Success,7554
RCI-A.TO,Success,7474
VV,Success,5210
VWRL.AS,Success,3169
RCI-B.TO,Success,7551
AD.AS,Success,5830
