Symbol,Volume,Status
CSSX5E.MI,2034,Fail
PUD.TO,0,Fail
UDA.TO,0,Fail
REMX.MI,29382,Fail
IAEX.L,3,Fail
IBIE,3182,Fail
WGMI,528622,Pass
CSY5.F,0,Fail
GJUN,47429,Fail
ZJPN.TO,841,Fail
DGT,6500,Fail
SMDY,0,Fail
PUSH,570,Fail
HELO,562803,Pass
X03H.SW,1166,Fail
XDPD.F,0,Fail
SHYG,1885840,Pass
GSY,236400,Pass
DWPP,0,Fail
H4ZB.DE,0,Fail
FNDE,557133,Pass
HBB.TO,8811,Fail
RSPN,21600,Fail
IGLS.L,243,Fail
UTINEXT50.BO,1741,Fail
BITW,12553,Fail
LVHD,43664,Fail
EQQQ.DE,5050,Fail
ZPDH.DE,3565,Fail
FHG.TO,0,Fail
LYXC.DE,253,Fail
SHU.TO,0,Fail
PE500.PA,56503,Fail
FTLS,122587,Fail
UC76.L,717,Fail
CAFX,134590,Fail
CBUS.SW,705,Fail
SBCS.L,0,Fail
XAMB.DE,15161,Fail
BIDU.L,0,Fail
TRS5.L,0,Fail
EDMU.DE,335017,Pass
LCF,4,Fail
LYPQ.DE,0,Fail
PNQI,31500,Fail
ZSPY,0,Fail
MGNR,30656,Fail
KWEB,40168839,Pass
RQFI.L,311,Fail
319870.KS,0,Fail
FLRT,186253,Fail
ZZZ,215,Fail
IYW,320400,Pass
VGH.TO,2003,Fail
VEQ.AX,751,Fail
AAPD,244969,Pass
UC14.L,3,Fail
IECS,0,Fail
MCEF,0,Fail
XMEU.L,4,Fail
HLPR.TO,2300,Fail
JBRI,0,Fail
NVDL,19097519,Pass
MSFL,196579,Fail
FNGD,1538808,Pass
SPOL.L,19,Fail
MUS.TO,0,Fail
3UBR.L,1000,Fail
XTJL,2405,Fail
MSEC.SW,169,Fail
AIVL,1200,Fail
YESR,0,Fail
ETEC,236,Fail
FIDU,32883,Fail
HJPN.AX,12226,Fail
XOMO,20206,Fail
GBB,0,Fail
USIG.L,0,Fail
EXIB.DE,234,Fail
SHLD.L,231,Fail
EUCO.PA,32,Fail
IJS,142400,Fail
DFVE,618,Fail
3070.HK,479600,Pass
IBHE,135655,Fail
HIG.TO,11512,Fail
IITB.MI,1762,Fail
CGIB,751,Fail
2807.HK,27750,Fail
SUKC.L,250,Fail
LSPU.L,7351,Fail
JULQ,1871,Fail
EMLP.L,0,Fail
LSGR,13,Fail
3GOS.L,1100,Fail
PLC,0,Fail
HDMV,5066,Fail
AOK,166400,Fail
JETD,2248,Fail
TILL,1006,Fail
CNYA,651961,Pass
PJAN,22646,Fail
NLR,59500,Fail
MNY.TO,924,Fail
MASPTOP50.NS,622875,Pass
SRT.SI,599269,Pass
US10.L,250,Fail
WCBR,29051,Fail
ISFD.L,782,Fail
JREU.DE,10730,Fail
EQLS,1169,Fail
SUGA.MI,17508,Fail
MGC,57100,Fail
HSXD.L,951,Fail
RHRX,32,Fail
