Symbol,Volume,Status
UTINEXT50.BO,4374,Fail
UKSR.L,0,Fail
FRCK.DE,424,Fail
ZPDH.DE,3626,Fail
IGLS.L,0,Fail
NVDQ,25095446,Pass
U10H.MI,6494,Fail
SHU.TO,0,No Data
EHYB.L,0,Fail
FHG.TO,600,Fail
TTTX.TO,0,Fail
LRGF,38977,Fail
UC82.L,0,Fail
LYPQ.DE,0,No Data
USIG.L,0,Fail
VMID.L,0,Fail
SMIN,57046,Fail
ZSPY,0,No Data
TRS5.L,0,Fail
CWI,89538,Fail
RQFI.L,0,Fail
FTLS,112975,Fail
FSLD,0,No Data
US10.L,0,Fail
BSMS,39716,Fail
LQQ3.L,0,Fail
IZRL,10238,Fail
ASIA,3807,Fail
UC14.L,0,Fail
SWLD.L,0,Fail
GINC.L,0,Fail
CSBGC0.SW,2955,Fail
MCEF,0,No Data
NIKL,4479,Fail
SEGA.L,0,Fail
183700.KS,21,Fail
IUMF.L,0,Fail
MSFL,130125,Fail
MUS.TO,0,No Data
VEQ.AX,538,Fail
PHYD,5693,Fail
MASPTOP50.NS,337637,Pass
ZZZ,184,Fail
USCL,198,Fail
TMAT,15393,Fail
VGH.TO,2600,Fail
FID,5216,Fail
XMED.L,0,Fail
IKSD.L,0,Fail
GBB,0,No Data
CAFX,6896,Fail
HJPN.AX,1548,Fail
DFVE,0,No Data
GJUN,8923,Fail
EUCO.PA,703,Fail
DWUS,389,Fail
XTAP,0,No Data
SMI,157,Fail
AGUG.AS,2449,Fail
EMLP.L,0,No Data
CGIB,500,Fail
NVMZ,0,No Data
LSGR,0,No Data
SUKC.L,0,Fail
COMB,8287,Fail
GCSG.L,0,Fail
PLC,0,No Data
CITS.L,0,No Data
BAB,79392,Fail
VTI,1983599,Pass
6PSA.DE,1764,Fail
TILL,1014,Fail
MEDX,98,Fail
IEF,3826507,Pass
RSH3.L,0,No Data
RVRB,0,No Data
DFGR,369323,Pass
EMBD,7077,Fail
TPIF,1822,Fail
PFFD,646768,Pass
FTEK.L,0,Fail
LEGR,3593,Fail
GG3S.L,0,Fail
HMLSF,0,No Data
HIWO.SW,756,Fail
XB,1441,Fail
SUGA.MI,8883,Fail
JREU.DE,16360,Fail
PFM,11500,Fail
IDBT.L,0,Fail
MGC,58593,Fail
332500.KS,646,Fail
FCID.TO,1300,Fail
JREG.DE,29888,Fail
MLPD.L,0,Fail
U1FB.DE,5570,Fail
EUF.NZ,11064,Fail
HSXD.L,0,No Data
EXSH.DE,18505,Fail
2828.HK,48661961,Pass
CVLC,4850,Fail
UBTP.L,0,Fail
HWAY,103,Fail
XCNY,302,Fail
ICICIB22.NS,668696,Pass
FLRT,150699,Fail
LCDS,19,Fail
MAGU.AS,0,Fail
PNQI,27310,Fail
KCSH,0,No Data
HYGW,94849,Fail
RGI,0,No Data
319870.KS,0,No Data
MIDCAPIETF.BO,12121,Fail
ISFD.L,0,Fail
SHYG,565244,Pass
M9SA.DE,619,Fail
CMBS,22667,Fail
CYBR.L,0,Fail
EWP,55121,Fail
PEMX,1084,Fail
CANQ,314,Fail
BBUS,222671,Pass
MRN3.L,0,Fail
USCC.TO,1800,Fail
MFEX.L,0,No Data
XDEV.L,0,Fail
GOVI,101149,Fail
FLQD,0,No Data
3GOS.L,0,Fail
DXJ,518122,Pass
3CON.MI,35155,Fail
NBJP,0,No Data
SC0Q.DE,76,Fail
SUBZ,0,No Data
JHMU,3996,Fail
FTWO,2684,Fail
AFSM,308,Fail
IRTR,0,No Data
IVE,621011,Pass
IXSRF,1763,Fail
GSFP,0,No Data
EQLS,2654,Fail
CSHI,67209,Fail
IMVU.L,0,Fail
MSDG.L,0,No Data
ABN3.L,0,Fail
GLDU.L,0,No Data
7USH.DE,33307,Fail
EVSD,1800,Fail
USIH.PA,438,Fail
WBAT,914,Fail
IDME,0,No Data
TTPX.DE,253,Fail
SARG.L,0,No Data
AVDG,0,No Data
X025.DE,0,No Data
QPON.AX,12604,Fail
PLTM,137247,Fail
IDX,340691,Pass
AGAP.L,0,Fail
BRAZ,1004,Fail
LQDH,26788,Fail
IDWR.L,0,Fail
DGT,1152,Fail
ISHP,14,Fail
EXS2.DE,19294,Fail
FUM.TO,0,No Data
MOEU.DE,60,Fail
XSX6.L,0,Fail
SIXF,4131,Fail
HPYM.TO,11300,Fail
RDVI,194038,Fail
CPST,787,Fail
SCMB,47016,Fail
VSDA,7646,Fail
VCSH,1401355,Pass
NZAC,1382,Fail
HAJ.TO,0,No Data
LQDH.L,0,Fail
OACP,21060,Fail
PTIR,170064,Fail
DYB,0,No Data
26ID.PA,0,Fail
3GIL.L,0,Fail
COFF.MI,2783,Fail
CEMS.DE,6581,Fail
SNSR,11655,Fail
WGMI,714399,Pass
CSJP,0,No Data
JMID,2031,Fail
IBMK,0,No Data
267770.KS,121639,Fail
UKG5.L,0,Fail
CTEK.L,0,No Data
JSI,18087,Fail
83128.HK,81000,Fail
IUUS.L,0,Fail
CFA.SI,216468,Pass
QIE.TO,2400,Fail
SOXM,13308,Fail
OOSP,101,Fail
SQQQ,111319567,Pass
ESGE.PA,7357,Fail
IYC,11906,Fail
IWR,729067,Pass
XDEC,17835,Fail
EXCS.L,0,Fail
MVPA,2287,Fail
PAXG.L,0,Fail
YESR,0,No Data
FDVL,1660673,Pass
XDPG.L,0,Fail
CRED.AX,7273,Fail
COPA.L,0,Fail
DINT,7272,Fail
LRET,0,No Data
BLCN,9886,Fail
XFN.TO,260800,Pass
SUUS.L,0,Fail
VQT,0,No Data
XEI.TO,77700,Fail
SCHB,1668557,Pass
2836.HK,25800,Fail
3AME.L,0,Fail
RSXJ,0,No Data
EUMD.L,0,Fail
SNOV,224,Fail
V60D.DE,1438,Fail
SMDY,0,No Data
RONN,23970458,Pass
UTES.TO,29800,Fail
GLDM,1581861,Pass
HYDW,1728,Fail
MJ,228537,Pass
EDGH,8043,Fail
3EMS.L,0,No Data
FLXI.L,0,Fail
ETFBM40TR.WA,4759,Fail
ZPL.TO,4900,Fail
FXI,94001831,Pass
DGS,144949,Fail
PFRL,1763,Fail
CU71.L,0,Fail
ESPO,17206,Fail
AIBD,1258,Fail
SPYK.DE,14,Fail
BNDI,35184,Fail
FUSI,0,No Data
RODE,274,Fail
TUSB.TO,800,Fail
KOCT,25489,Fail
GMAR,26454,Fail
ISEP,28463,Fail
IGBH,15274,Fail
SCHP,919787,Pass
FOGB.L,0,Fail
GOAT,0,No Data
EACL.NE,0,No Data
SBCS.L,0,No Data
VETS,0,No Data
3UBR.L,0,Fail
LGJP.L,0,Fail
36BA.DE,72254,Fail
IBDC,0,No Data
PJAN,22637,Fail
LOWC,0,No Data
397420.KS,5,Fail
XLES.L,0,Fail
WTAI,22689,Fail
XNAS.F,0,No Data
BSLNIFTY.BO,14921,Fail
USRT,69975,Fail
BIDU.L,0,No Data
HYRM,404,Fail
JGST.L,0,Fail
HDLV,0,No Data
DBC,842541,Pass
ACIM,0,No Data
FTWG.L,0,Fail
LALT,6380,Fail
TSPY,5416,Fail
USSL.TO,339,Fail
PVAL,156168,Fail
FLI.TO,4700,Fail
JULQ,0,No Data
BSCY,122534,Fail
AMAX.TO,13400,Fail
JIRE,74408,Fail
FWD,6908,Fail
VLC.AX,141,Fail
IBGA,13068,Fail
227560.KS,1293,Fail
SRT.SI,67196,Fail
VGIT,1065372,Pass
SPOL.L,0,Fail
CNBS,32042,Fail
EXIB.DE,500,Fail
IFFF.SW,7712,Fail
EVAL.L,0,Fail
SC0K.DE,9074,Fail
LTWN.DE,0,No Data
GFOF,499,Fail
AQWA.L,0,No Data
XUSP,2753,Fail
WANT,29950,Fail
RPSB.TO,0,Fail
9400.SR,460,Fail
IBDV,197321,Fail
IMSU.L,0,Fail
IDVY.SW,640,Fail
SDOG,15801,Fail
WMTS.AS,0,Fail
GDEP.TO,0,Fail
237350.KS,4276,Fail
CBUG.L,0,Fail
GREI,0,No Data
ZPRG.DE,11716,Fail
GDMN,8676,Fail
SPYF.DE,165,Fail
HF,11481,Fail
SMMV,26385,Fail
3070.HK,564600,Pass
WCBR,18619,Fail
SFTG.L,0,No Data
FIG,15494,Fail
DANC.TO,400,Fail
CNYB.AS,14867,Fail
TAXX,8175,Fail
GAEM,100,Fail
EWZ,16140262,Pass
2802.HK,0,No Data
H4ZV.DE,0,No Data
WEMG.AX,169,Fail
SCDS,3,Fail
FESM,619377,Pass
UPAD.L,0,Fail
UEF0.F,0,No Data
CLOD,119,Fail
SMDD,5994,Fail
LHKG.DE,2149,Fail
SECR,0,No Data
TPYP,60276,Fail
FCAL,30286,Fail
FDFF,1043,Fail
CNKY.L,0,Fail
FDEM,22030,Fail
IBD,21158,Fail
LMVF.DE,2365,Fail
LIVU.L,0,No Data
365040.KS,9208,Fail
